,epoch,loss,DICE,IoU,lr
0,1,1.4731910120357166,0.7802850522778251,0.34028947353363037,[0.001]
1,2,1.404197465289723,0.7539878352121874,0.41950358179482544,[0.001]
2,3,1.33561632308093,0.7377631041136655,0.46808731826868927,[0.001]
3,4,1.2869048335335471,0.7110245580022986,0.4935630045153878,[0.001]
4,5,1.2221430377526716,0.6940695535052906,0.542584241791205,[0.001]
5,6,1.155160890384154,0.6604066328568892,0.5885667990554463,[0.001]
6,7,1.0911838439377872,0.628140701489015,0.6177759062160145,[0.001]
7,8,1.0132997225631366,0.5893685194579038,0.6423569159074263,[0.001]
8,9,0.9660726135427301,0.5661073950203982,0.6567900614304976,[0.001]
9,10,0.9206525222821669,0.5413152358748696,0.6770632077347148,[0.001]
10,11,0.8941875912926414,0.5362013659693978,0.6775739816102114,[0.0005]
11,12,0.8216876766898416,0.5007211159576069,0.6966481452638452,[0.0005]
12,13,0.7907172874970869,0.4820861139080741,0.7023094540292566,[0.0005]
13,14,0.7975040863860737,0.47197269038720563,0.7018057703971863,[0.0005]
14,15,0.777394026517868,0.46968319470232184,0.7033495903015137,[0.0005]
15,16,0.7507407394322482,0.4511210701682351,0.7127432227134705,[0.0005]
16,17,0.7225757701830431,0.4273536449128931,0.7229707159779288,[0.0005]
17,18,0.6880509555339813,0.41681701757691125,0.7243859226053412,[0.0005]
18,19,0.6598647968335585,0.3875569565729661,0.7406384132125161,[0.0005]
19,20,0.6484630947763269,0.38127965276891534,0.739230521700599,[0.0005]
20,21,0.6204206239093434,0.36887707764452154,0.7488229897889224,[0.0005]
21,22,0.6039948504079472,0.3589472635225816,0.7470335581085898,[0.0005]
22,23,0.5949582200158726,0.3595032421025363,0.7524144703691656,[0.0005]
23,24,0.595050187273459,0.34780276092615997,0.7501381744037975,[0.0005]
24,25,0.5620420967990701,0.3311903476715088,0.7606498626145449,[0.0005]
25,26,0.588788085363128,0.34967007691209967,0.7475676915862344,[0.0005]
26,27,0.5438544709574092,0.3243621452288194,0.7645777247168801,[0.0005]
27,28,0.5237390331246636,0.3050906251777302,0.7672249674797058,[0.0005]
28,29,0.5366109243848107,0.31950123743577435,0.7598214908079668,[0.0005]
29,30,0.5303076302463358,0.3132274801080877,0.7622779499400746,[0.0005]
30,31,0.518344369801608,0.3004211647944017,0.7708110430023887,[0.0005]
31,32,0.5050860074433413,0.2922265746376731,0.7705790292132985,[0.0005]
32,33,0.5066197473894466,0.29117313298312103,0.7696001881902869,[0.0005]
33,34,0.47747189754789526,0.2769190316850489,0.7799079336903312,[0.0005]
34,35,0.4899525317278775,0.28443458676338196,0.772546730258248,[0.0005]
35,36,0.46434149146080017,0.27394723892211914,0.7793886932459745,[0.0005]
36,37,0.47991887954148377,0.27621461857448926,0.7757278111847964,[0.0005]
37,38,0.47684774615547876,0.2804806124080311,0.7773482366041704,[0.0005]
38,39,0.46456616710532794,0.2699374556541443,0.7810670056126334,[0.0005]
39,40,0.44016327641227027,0.251678927378221,0.7883694822138007,[0.0005]
40,41,0.4500741687687961,0.2585245397957889,0.7826422290368513,[0.0005]
41,42,0.43906315483830194,0.24841514771634882,0.7895781099796295,[0.0005]
42,43,0.4344889792529019,0.25208775292743335,0.7866615436293862,[0.0005]
43,44,0.45058166167952796,0.2549956495111639,0.7835887155749581,[0.0005]
44,45,0.4381589781154286,0.25067342682318255,0.7902248528870669,[0.0005]
45,46,0.4331653836098584,0.24897603013298727,0.7925842485644601,[0.0005]
46,47,0.44672419266267255,0.2506477182561701,0.7852945707061074,[0.0005]
47,48,0.4175899611278014,0.2373050640929829,0.8005706993016329,[0.0005]
48,49,0.41479135236956854,0.23766429857774216,0.7969434017484839,[0.0005]
49,50,0.4003716598857533,0.2272267070683566,0.8029607967896895,[0.0005]
50,51,0.39797528900883417,0.2247710878198797,0.8013836741447449,[0.0005]
51,52,0.4129361415451223,0.2335374572060325,0.7982097484848716,[0.0005]
52,53,0.3989064693450928,0.2264055392958901,0.802661809054288,[0.0005]
53,54,0.3885182643478567,0.2216581106185913,0.8029206232591108,[0.0005]
54,55,0.391424378210848,0.22368595816872336,0.8038182827559385,[0.0005]
55,56,0.38965690406886017,0.22180608456785028,0.8079479851505973,[0.0005]
56,57,0.39829941906712274,0.2261371449990706,0.8048796030608091,[0.0005]
57,58,0.38394871895963495,0.21950119462880222,0.8082693300463937,[0.0005]
58,59,0.3882955285635861,0.2189099599014629,0.8069033162160353,[0.0005]
59,60,0.3896619027311152,0.21906040744348007,0.8041858212514357,[0.0005]
60,61,0.38136548752134497,0.21287440169941296,0.8087634498422797,[0.0005]
61,62,0.38041902536695654,0.21201557462865656,0.8114356615326621,[0.0005]
62,63,0.39886668053540314,0.22061590173027731,0.8087391555309296,[0.0005]
